Id,Clause1,Clause2,Relation
1,说：只要拿着这根权杖,您就是世界之王。,Contingency
2,你可以在一开始签订合同的时候对此表示异议,拒绝签字。,Expansion
3,男人在选这份礼物给女友或太太时,是把性幻想当附加值一起奉送的。,Expansion
4,我跌跌撞撞费力地走着攀着,心里不禁也窝着火。,Expansion
5,转杯可不转,也可作转向与转臂相反的转动。,Expansion
6,五、如果不小心染上性病,必然会对精子的数量产生不良影响。,Contingency
7,企业理念---------以最优惠的价格,提供更高质量的丝绸产品系列。,Expansion
8,它吸引了许多外国学者到此进行考古研究,也是洪都拉斯境内重要的旅游点之一。,Expansion
9,3.用玻棒压舌根,然后唾液就可以源源不绝的流出来。,Temporal
10,受攀枝花地震影响一度中断的成昆铁路,目前已经恢复通车。,Temporal
11,我妹妹也保存了,她收集每一篇写有我名字的文章。,Expansion
12,”然而毕竟时尚关心的是“此时此刻”,永远是“今天”而不是“昨天”。,Expansion
13,的产品去污能力低,并会刺激皮肤。,Expansion
14,情人的体贴与温柔小动作,想要给予也向往这样的对待。,Expansion
15,可是我把一面遮掩起来,让她无法看见。,Contingency
16,如果私车拖运造成了二次损坏,保险公司是不予理赔的。,Contingency
17,啊不管啦,反正这就是能够吸引男性目光的娃娃脸呀！,Comparison
18,不是玩笑,更不是天方夜谭。,Expansion
19,有一位勤劳勇敢的青年与一位美丽的姑娘相爱,但是青年的多次求婚得不到姑娘的允诺。,Comparison
20,因为缺少宽容,我们生活的阳光常常被阴云笼罩。,Contingency
21,“努力不一定成功,但放弃一定失败。,Comparison
22,由于人种混杂、肤色各异,该城素有小联合国之称。,Contingency
23,酒店是个国际著名的休闲式连锁店,整洁而舒服。,Expansion
24,她儿子瘦高挑,比她还高。,Comparison
25,★四忌产后恢复时间不足6个月受孕,以免影响体质的恢复。,Contingency
26,咀嚼的速度要放慢,而且要让每个牙齿都能参与进来。,Expansion
27,科斯泰罗原先在IBM公司研发搜寻技术,也是史丹佛大学的研究员。,Expansion
28,目前伊兰特1.6L手动标准型只要8万多元,可谓是一款真正的经济型中级车。,Expansion
29,作用：这类游戏能让孩子获得一种撑控感,并有助于他人们交往的方式。,Expansion
30,当分离后再见到母亲时,对母亲采取回避态度。,Temporal
31,我说,“这是为什么？,Expansion
32,有的客人甚至只需出示照片,店家就能复制出类似的款式。,Expansion
33,但马特拉齐将功补过头球扳平,托尼此后头球击中横梁。,Temporal
34,人类在意外事故面前总是脆弱不堪,而交通事故一直高居于各种意外事故之首。,Expansion
35,研究人员每月都会跟踪监测对虾的整体生长,借助软件还可以分析相关的数据。,Expansion
36,斯蒂文森两罚一中之后,火箭暂停。,Temporal
37,除了正式场合,只要带些夏装足矣。,Expansion
38,人都说四川人生活极其悠闲安逸,此话不假。,Expansion
39,也会在你的课本上涂满胶水,座椅上撒上图钉。,Expansion
40,凡训蒙,须讲究。,Expansion
41,真说弗老大有什么伤病,显然都是托词了。,Expansion
42,耻骨松弛激素能够帮助你放松骨盆,让宝宝更容易地分娩出来。,Expansion
43,无论什么时候教练喊了我的名字,我就能上场。,Contingency
44,我在随意闲逛之中,来到另外一处市场。,Expansion
45,SUV的热,是相对而言的。,Expansion
46,安又琪：真的吗,他说什么？,Expansion
47,现在的面条机用对滚式刀具,一种刀具只能切割一种宽度的面条。,Expansion
48,到达上松之后,沿着森林铁道前进。,Temporal
49,嘿嘿,我也这么觉得。,Expansion
50,”副领事在电脑里查找着文件,而后笑道：“你对。,Temporal
51,95%的宫外孕在输卵管,也有在卵巢和腹腔的。,Expansion
52,这是一项高端的计算机图像处理技术,其发展也已历经多年。,Expansion
53,=v=嗯,还有坐在我后面的庆仔同学~~！,Expansion
54,谈到操控自然得从发动机说起,毕竟这是一辆车的动力之源。,Contingency
55,妈妈说：“那好,明天一早我考考你。,Contingency
56,如果您喜欢国际在线论坛,请点击这里免费注册成为我们的新用户！,Contingency
57,于是,小刘、小梁拿到了一等奖学金。,Expansion
58,考此等煞皆为墓,鬼从墓中来之意。,Expansion
59,我们开始有矛盾,我甚至觉得婚姻正遭遇前所未有的危机。,Expansion
60,原来他们已知避免近亲结婚,难怪在村里没见到一个弱智儿或痴呆儿。,Contingency
61,仅2007年,就有五百多万儿童因此失去了幼小的生命。,Temporal
62,又回想起刚升高中不久,和芭儿讨论起初中与高中的区别。,Temporal
63,56、放有辣椒的菜太辣时或炒辣椒时加点醋,辣味大减。,Contingency
64,有句俗语叫知之者不如好之者,好之者不如乐之者。,Expansion
65,从以上的技术数据来看,风云2将很可能成为奇瑞旗云的替代车型。,Expansion
66,不论贫富,必食西瓜。,Expansion
67,这种简单、肤浅的认识下,也就有了“宾利”在中国的神话。,Contingency
68,说实在,我讨厌成双成对袜子。,Expansion
69,*您的好友巫妹最近比较忙,没有更新商品。,Contingency
70,过去那是盛产香蕉的地方,有“世界香蕉之都”的美称。,Expansion
71,还有那个语文,英语。,Expansion
72,两场祭出最强阵容的比赛他们都输了,其中还有一场是主场输给东部垫底的巫师。,Expansion
73,首次加盟需要多少的启动资金呢,就是说需要从贵公司购买多少钱的货物呢？,Expansion
74,2001年曾一度降至3.59%,为历史最低。,Expansion
75,于是往往出现妻子正渐入佳境时,丈夫却已经偃旗息鼓深圳街美女的情况。,Comparison
76,作为一款豪华跨界车型,EX的豪华配置也不输给任何一个竞争对手。,Expansion
77,现在想起来,真是好久没有两个人一起逛街了。,Expansion
78,12万元级别的车型各异,适合的人群也更加广泛。,Expansion
79,》：从参加比赛到现在,你生活中最大的变化是什么？,Temporal
80,“我们已不仅仅生产小车,但小车仍是奇瑞重要的一个方面。,Comparison
81,这是一个务实冷静的《宣言》,也是一个全球化思维的行动纲领。,Expansion
82,如果是在陆地的话,这种情况很有可能发生。,Contingency
83,随即开沟作厢,厢宽1.3～1.5米为宜。,Expansion
84,从一开始就有一份清楚可行的时间表,保证你的义工能依照进度并及时完成。,Expansion
85,城西主要是工业区,有纺织、水泥和装配加工等工厂。,Expansion
86,[摘要]一种工艺竹瓶,涉及木材或类似材料加工领域。,Expansion
87,这位业内人士说,二手车交易中陷阱非常多。,Expansion
88,同时要针对自己孩子的具体情况,进行耐心、细致的教育训练。,Expansion
89,结婚后,家庭生活也很好。,Temporal
90,（有链接的论文可查看全文,如有作者希望在此发表全文请与沈芸芸联系。,Expansion
91,上海各大4S店都没有现车,预定须等1周时间。,Contingency
92,2.活动截止后官方会统计各个洞府的战绩,并为前5名的洞府发放扶持奖励。,Expansion
93,古巴少女都有享受成年礼的权利,而15岁的少年男子没有这项待遇。,Comparison
94,一些简易的孕妇体操,或是增加、延长每次散步的时间与次数。,Expansion
95,因为基金是长线理财工具,基金定投短期内是很难看出什么成效的。,Contingency
96,就气候变化和人口规模之间的关系而言,澳洲提供了一个好例子。,Expansion
97,我被他的大度感动了,并且坚信他是值得托付终身的男人。,Expansion
